applicant_id,predicted_prob_default,credit_score,score_band,recommended_action
53,0.0636,565,Very High Risk,Decline
54,0.0947,552,Very High Risk,Decline
55,0.1945,528,Very High Risk,Decline
56,0.1208,544,Very High Risk,Decline
57,0.475,490,Very High Risk,Decline
58,0.1255,543,Very High Risk,Decline
59,0.9398,408,Very High Risk,Decline
60,0.3667,503,Very High Risk,Decline
61,0.1103,547,Very High Risk,Decline
62,0.1831,530,Very High Risk,Decline
63,0.2989,512,Very High Risk,Decline
64,0.1964,528,Very High Risk,Decline
65,0.0592,567,Very High Risk,Decline
66,0.8213,443,Very High Risk,Decline
67,0.9548,399,Very High Risk,Decline
68,0.5784,478,Very High Risk,Decline
69,0.194,528,Very High Risk,Decline
70,0.908,421,Very High Risk,Decline
71,0.4587,492,Very High Risk,Decline
72,0.6172,473,Very High Risk,Decline
73,0.0461,575,Very High Risk,Decline
74,0.1021,550,Very High Risk,Decline
75,0.7147,461,Very High Risk,Decline
76,0.855,436,Very High Risk,Decline
77,0.515,485,Very High Risk,Decline
78,0.1436,539,Very High Risk,Decline
79,0.2541,518,Very High Risk,Decline
80,0.5373,483,Very High Risk,Decline
81,0.3156,509,Very High Risk,Decline
82,0.9097,420,Very High Risk,Decline
83,0.2325,522,Very High Risk,Decline
84,0.9811,373,Very High Risk,Decline
85,0.5233,484,Very High Risk,Decline
86,0.7062,462,Very High Risk,Decline
87,0.9038,422,Very High Risk,Decline
88,0.5234,484,Very High Risk,Decline
89,0.9577,397,Very High Risk,Decline
90,0.1326,541,Very High Risk,Decline
91,0.788,449,Very High Risk,Decline
92,0.2418,520,Very High Risk,Decline
93,0.554,481,Very High Risk,Decline
94,0.4159,497,Very High Risk,Decline
95,0.1752,532,Very High Risk,Decline
96,0.2608,517,Very High Risk,Decline
97,0.0926,553,Very High Risk,Decline
98,0.0784,558,Very High Risk,Decline
99,0.1464,538,Very High Risk,Decline
100,0.1984,527,Very High Risk,Decline
101,0.2003,527,Very High Risk,Decline
102,0.5345,483,Very High Risk,Decline
103,0.0606,566,Very High Risk,Decline
104,0.1543,536,Very High Risk,Decline
105,0.2129,525,Very High Risk,Decline
106,0.9476,404,Very High Risk,Decline
107,0.216,524,Very High Risk,Decline
108,0.8542,436,Very High Risk,Decline
109,0.1724,532,Very High Risk,Decline
110,0.2129,525,Very High Risk,Decline
111,0.0369,581,High Risk,Decline
112,0.2755,515,Very High Risk,Decline
113,0.0354,582,High Risk,Decline
114,0.1892,529,Very High Risk,Decline
115,0.3765,502,Very High Risk,Decline
116,0.4128,497,Very High Risk,Decline
117,0.4143,497,Very High Risk,Decline
118,0.0229,595,High Risk,Decline
119,0.9371,409,Very High Risk,Decline
120,0.1848,530,Very High Risk,Decline
121,0.6055,475,Very High Risk,Decline
122,0.3735,502,Very High Risk,Decline
123,0.0416,578,Very High Risk,Decline
124,0.8154,444,Very High Risk,Decline
125,0.5539,481,Very High Risk,Decline
126,0.7446,456,Very High Risk,Decline
127,0.6399,471,Very High Risk,Decline
128,0.8295,441,Very High Risk,Decline
129,0.2453,520,Very High Risk,Decline
130,0.3335,507,Very High Risk,Decline
131,0.1773,531,Very High Risk,Decline
132,0.4791,490,Very High Risk,Decline
133,0.1456,538,Very High Risk,Decline
134,0.0349,583,High Risk,Decline
135,0.0734,560,Very High Risk,Decline
136,0.1569,536,Very High Risk,Decline
137,0.2039,526,Very High Risk,Decline
138,0.051,572,Very High Risk,Decline
139,0.0518,571,Very High Risk,Decline
140,0.5751,478,Very High Risk,Decline
141,0.198,527,Very High Risk,Decline
142,0.9564,398,Very High Risk,Decline
143,0.1504,537,Very High Risk,Decline
144,0.9346,410,Very High Risk,Decline
145,0.1847,530,Very High Risk,Decline
146,0.4899,488,Very High Risk,Decline
147,0.0337,584,High Risk,Decline
148,0.1364,540,Very High Risk,Decline
149,0.0417,578,Very High Risk,Decline
150,0.8744,431,Very High Risk,Decline
151,0.47,491,Very High Risk,Decline
152,0.0391,580,High Risk,Decline
153,0.4996,487,Very High Risk,Decline
154,0.1438,539,Very High Risk,Decline
155,0.179,531,Very High Risk,Decline
156,0.0799,558,Very High Risk,Decline
157,0.1517,537,Very High Risk,Decline
158,0.1588,535,Very High Risk,Decline
159,0.5106,486,Very High Risk,Decline
160,0.0806,557,Very High Risk,Decline
161,0.0305,587,High Risk,Decline
162,0.3183,509,Very High Risk,Decline
163,0.3023,511,Very High Risk,Decline
164,0.3845,501,Very High Risk,Decline
165,0.9691,388,Very High Risk,Decline
166,0.2461,519,Very High Risk,Decline
167,0.1378,540,Very High Risk,Decline
168,0.1439,539,Very High Risk,Decline
169,0.101,550,Very High Risk,Decline
170,0.453,493,Very High Risk,Decline
171,0.8325,441,Very High Risk,Decline
172,0.2238,523,Very High Risk,Decline
173,0.0359,582,High Risk,Decline
174,0.0791,558,Very High Risk,Decline
175,0.1021,550,Very High Risk,Decline
176,0.1613,535,Very High Risk,Decline
177,0.2253,523,Very High Risk,Decline
178,0.4122,497,Very High Risk,Decline
179,0.0305,587,High Risk,Decline
180,0.0713,561,Very High Risk,Decline
181,0.1258,543,Very High Risk,Decline
182,0.4761,490,Very High Risk,Decline
183,0.907,421,Very High Risk,Decline
184,0.0359,582,High Risk,Decline
185,0.1377,540,Very High Risk,Decline
186,0.0293,588,High Risk,Decline
187,0.4045,498,Very High Risk,Decline
188,0.9022,423,Very High Risk,Decline
189,0.3003,512,Very High Risk,Decline
190,0.1548,536,Very High Risk,Decline
191,0.385,501,Very High Risk,Decline
192,0.6298,472,Very High Risk,Decline
193,0.7653,453,Very High Risk,Decline
194,0.6921,464,Very High Risk,Decline
195,0.0329,585,High Risk,Decline
196,0.2316,522,Very High Risk,Decline
197,0.7056,462,Very High Risk,Decline
198,0.4144,497,Very High Risk,Decline
199,0.1717,533,Very High Risk,Decline
200,0.292,513,Very High Risk,Decline
201,0.1384,540,Very High Risk,Decline
202,0.1707,533,Very High Risk,Decline
203,0.148,538,Very High Risk,Decline
204,0.4892,488,Very High Risk,Decline
205,0.2526,518,Very High Risk,Decline
206,0.0627,565,Very High Risk,Decline
207,0.5877,477,Very High Risk,Decline
208,0.873,431,Very High Risk,Decline
209,0.2844,514,Very High Risk,Decline
210,0.3339,507,Very High Risk,Decline
211,0.03,587,High Risk,Decline
212,0.0663,563,Very High Risk,Decline
213,0.1692,533,Very High Risk,Decline
214,0.1573,536,Very High Risk,Decline
215,0.4363,495,Very High Risk,Decline
216,0.1358,541,Very High Risk,Decline
217,0.2178,524,Very High Risk,Decline
218,0.4463,493,Very High Risk,Decline
219,0.1883,529,Very High Risk,Decline
220,0.67,467,Very High Risk,Decline
221,0.2908,513,Very High Risk,Decline
222,0.0492,573,Very High Risk,Decline
223,0.0753,559,Very High Risk,Decline
224,0.073,560,Very High Risk,Decline
225,0.1885,529,Very High Risk,Decline
226,0.0752,560,Very High Risk,Decline
227,0.1631,534,Very High Risk,Decline
228,0.0979,551,Very High Risk,Decline
229,0.2475,519,Very High Risk,Decline
230,0.548,482,Very High Risk,Decline
231,0.127,543,Very High Risk,Decline
232,0.0272,590,High Risk,Decline
233,0.0707,561,Very High Risk,Decline
234,0.1495,537,Very High Risk,Decline
235,0.0974,551,Very High Risk,Decline
236,0.4639,491,Very High Risk,Decline
237,0.1808,531,Very High Risk,Decline
238,0.9245,415,Very High Risk,Decline
239,0.7769,451,Very High Risk,Decline
240,0.9678,389,Very High Risk,Decline
241,0.7005,463,Very High Risk,Decline
242,0.0908,554,Very High Risk,Decline
243,0.2256,523,Very High Risk,Decline
244,0.2085,526,Very High Risk,Decline
245,0.1457,538,Very High Risk,Decline
246,0.8181,444,Very High Risk,Decline
247,0.2245,523,Very High Risk,Decline
248,0.1074,548,Very High Risk,Decline
249,0.0873,555,Very High Risk,Decline
250,0.2475,519,Very High Risk,Decline
251,0.766,453,Very High Risk,Decline
252,0.0737,560,Very High Risk,Decline
253,0.0864,555,Very High Risk,Decline
254,0.0825,557,Very High Risk,Decline
255,0.6566,468,Very High Risk,Decline
256,0.1847,530,Very High Risk,Decline
257,0.1562,536,Very High Risk,Decline
258,0.3316,507,Very High Risk,Decline
259,0.7586,454,Very High Risk,Decline
260,0.3669,503,Very High Risk,Decline
261,0.1405,539,Very High Risk,Decline
262,0.2529,518,Very High Risk,Decline
263,0.0902,554,Very High Risk,Decline
264,0.22,524,Very High Risk,Decline
265,0.2988,512,Very High Risk,Decline
266,0.1425,539,Very High Risk,Decline
267,0.1174,545,Very High Risk,Decline
268,0.1261,543,Very High Risk,Decline
269,0.4006,499,Very High Risk,Decline
270,0.9416,407,Very High Risk,Decline
271,0.9092,421,Very High Risk,Decline
272,0.7704,452,Very High Risk,Decline
273,0.2895,513,Very High Risk,Decline
274,0.33,508,Very High Risk,Decline
275,0.0316,586,High Risk,Decline
276,0.1469,538,Very High Risk,Decline
277,0.5251,484,Very High Risk,Decline
278,0.2074,526,Very High Risk,Decline
279,0.6345,471,Very High Risk,Decline
280,0.7069,462,Very High Risk,Decline
281,0.5535,481,Very High Risk,Decline
282,0.5135,486,Very High Risk,Decline
283,0.067,563,Very High Risk,Decline
284,0.6689,467,Very High Risk,Decline
285,0.3829,501,Very High Risk,Decline
286,0.1376,540,Very High Risk,Decline
287,0.4345,495,Very High Risk,Decline
288,0.0183,602,High Risk,Decline
289,0.1791,531,Very High Risk,Decline
290,0.1189,545,Very High Risk,Decline
291,0.2926,513,Very High Risk,Decline
292,0.131,542,Very High Risk,Decline
293,0.3455,506,Very High Risk,Decline
294,0.2393,520,Very High Risk,Decline
295,0.2888,513,Very High Risk,Decline
296,0.3876,500,Very High Risk,Decline
297,0.708,462,Very High Risk,Decline
298,0.1935,528,Very High Risk,Decline
299,0.3029,511,Very High Risk,Decline
300,0.3413,506,Very High Risk,Decline
301,0.2038,526,Very High Risk,Decline
302,0.1533,536,Very High Risk,Decline
303,0.3018,511,Very High Risk,Decline
304,0.2308,522,Very High Risk,Decline
305,0.1273,543,Very High Risk,Decline
306,0.9637,393,Very High Risk,Decline
307,0.1193,545,Very High Risk,Decline
308,0.2104,525,Very High Risk,Decline
309,0.4526,493,Very High Risk,Decline
310,0.8805,430,Very High Risk,Decline
311,0.4023,499,Very High Risk,Decline
312,0.933,411,Very High Risk,Decline
313,0.5061,486,Very High Risk,Decline
314,0.1397,540,Very High Risk,Decline
315,0.0803,557,Very High Risk,Decline
316,0.944,406,Very High Risk,Decline
317,0.1304,542,Very High Risk,Decline
318,0.7004,463,Very High Risk,Decline
319,0.0497,572,Very High Risk,Decline
320,0.3159,509,Very High Risk,Decline
321,0.1806,531,Very High Risk,Decline
322,0.8015,447,Very High Risk,Decline
323,0.2016,527,Very High Risk,Decline
324,0.2456,520,Very High Risk,Decline
325,0.1713,533,Very High Risk,Decline
326,0.3594,504,Very High Risk,Decline
327,0.1705,533,Very High Risk,Decline
328,0.2577,518,Very High Risk,Decline
329,0.0556,569,Very High Risk,Decline
330,0.1934,528,Very High Risk,Decline
331,0.3476,505,Very High Risk,Decline
332,0.2923,513,Very High Risk,Decline
333,0.5659,479,Very High Risk,Decline
334,0.1108,547,Very High Risk,Decline
335,0.0996,551,Very High Risk,Decline
336,0.2776,515,Very High Risk,Decline
337,0.8949,425,Very High Risk,Decline
338,0.4256,496,Very High Risk,Decline
339,0.3756,502,Very High Risk,Decline
340,0.1335,541,Very High Risk,Decline
341,0.4118,497,Very High Risk,Decline
342,0.0661,564,Very High Risk,Decline
343,0.1581,535,Very High Risk,Decline
344,0.1021,550,Very High Risk,Decline
345,0.4093,498,Very High Risk,Decline
346,0.1978,528,Very High Risk,Decline
347,0.4113,497,Very High Risk,Decline
348,0.0783,558,Very High Risk,Decline
349,0.1649,534,Very High Risk,Decline
350,0.1358,541,Very High Risk,Decline
351,0.1763,532,Very High Risk,Decline
352,0.1102,547,Very High Risk,Decline
353,0.1214,544,Very High Risk,Decline
354,0.9199,417,Very High Risk,Decline
355,0.1118,547,Very High Risk,Decline
356,0.3152,510,Very High Risk,Decline
357,0.3734,502,Very High Risk,Decline
358,0.2297,522,Very High Risk,Decline
359,0.3054,511,Very High Risk,Decline
360,0.1623,534,Very High Risk,Decline
361,0.2518,519,Very High Risk,Decline
362,0.1911,529,Very High Risk,Decline
363,0.0264,591,High Risk,Decline
364,0.5497,481,Very High Risk,Decline
365,0.186,530,Very High Risk,Decline
366,0.5578,480,Very High Risk,Decline
367,0.4126,497,Very High Risk,Decline
368,0.1749,532,Very High Risk,Decline
369,0.6714,467,Very High Risk,Decline
370,0.7516,455,Very High Risk,Decline
371,0.269,516,Very High Risk,Decline
372,0.6155,474,Very High Risk,Decline
373,0.469,491,Very High Risk,Decline
374,0.1507,537,Very High Risk,Decline
375,0.361,504,Very High Risk,Decline
376,0.1969,528,Very High Risk,Decline
377,0.5886,477,Very High Risk,Decline
378,0.4601,492,Very High Risk,Decline
379,0.9151,419,Very High Risk,Decline
380,0.67,467,Very High Risk,Decline
381,0.3506,505,Very High Risk,Decline
382,0.1948,528,Very High Risk,Decline
383,0.0609,566,Very High Risk,Decline
384,0.1975,528,Very High Risk,Decline
385,0.2393,520,Very High Risk,Decline
386,0.4605,492,Very High Risk,Decline
387,0.6397,471,Very High Risk,Decline
388,0.7755,451,Very High Risk,Decline
389,0.9869,363,Very High Risk,Decline
390,0.4214,496,Very High Risk,Decline
391,0.5314,483,Very High Risk,Decline
392,0.8792,430,Very High Risk,Decline
393,0.2876,513,Very High Risk,Decline
394,0.3137,510,Very High Risk,Decline
395,0.4031,498,Very High Risk,Decline
396,0.2417,520,Very High Risk,Decline
397,0.2928,513,Very High Risk,Decline
398,0.2221,523,Very High Risk,Decline
399,0.9812,373,Very High Risk,Decline
400,0.2647,517,Very High Risk,Decline
401,0.0226,596,High Risk,Decline
402,0.1171,545,Very High Risk,Decline
403,0.0942,552,Very High Risk,Decline
404,0.9344,410,Very High Risk,Decline
405,0.2812,514,Very High Risk,Decline
406,0.062,566,Very High Risk,Decline
407,0.4278,496,Very High Risk,Decline
408,0.2774,515,Very High Risk,Decline
409,0.1434,539,Very High Risk,Decline
410,0.0386,580,High Risk,Decline
411,0.7241,459,Very High Risk,Decline
412,0.1086,548,Very High Risk,Decline
413,0.6721,466,Very High Risk,Decline
414,0.4203,496,Very High Risk,Decline
415,0.0638,565,Very High Risk,Decline
416,0.5542,481,Very High Risk,Decline
417,0.2031,527,Very High Risk,Decline
418,0.9406,407,Very High Risk,Decline
419,0.3597,504,Very High Risk,Decline
420,0.2516,519,Very High Risk,Decline
421,0.3367,507,Very High Risk,Decline
422,0.1878,529,Very High Risk,Decline
423,0.0679,563,Very High Risk,Decline
424,0.9103,420,Very High Risk,Decline
425,0.2267,523,Very High Risk,Decline
426,0.3441,506,Very High Risk,Decline
427,0.1776,531,Very High Risk,Decline
428,0.0288,589,High Risk,Decline
429,0.0528,570,Very High Risk,Decline
430,0.4254,496,Very High Risk,Decline
431,0.0699,562,Very High Risk,Decline
432,0.2209,523,Very High Risk,Decline
433,0.2114,525,Very High Risk,Decline
434,0.1499,537,Very High Risk,Decline
435,0.4238,496,Very High Risk,Decline
436,0.9229,415,Very High Risk,Decline
437,0.2111,525,Very High Risk,Decline
438,0.3823,501,Very High Risk,Decline
439,0.1185,545,Very High Risk,Decline
440,0.0984,551,Very High Risk,Decline
441,0.1874,529,Very High Risk,Decline
442,0.07,562,Very High Risk,Decline
443,0.1706,533,Very High Risk,Decline
444,0.1463,538,Very High Risk,Decline
445,0.4469,493,Very High Risk,Decline
446,0.196,528,Very High Risk,Decline
447,0.306,511,Very High Risk,Decline
448,0.4733,490,Very High Risk,Decline
449,0.2017,527,Very High Risk,Decline
450,0.085,556,Very High Risk,Decline
451,0.7058,462,Very High Risk,Decline
452,0.0415,578,Very High Risk,Decline
453,0.3672,503,Very High Risk,Decline
454,0.3635,503,Very High Risk,Decline
455,0.508,486,Very High Risk,Decline
456,0.1143,546,Very High Risk,Decline
457,0.1922,529,Very High Risk,Decline
458,0.4312,495,Very High Risk,Decline
459,0.1586,535,Very High Risk,Decline
460,0.1693,533,Very High Risk,Decline
461,0.0762,559,Very High Risk,Decline
462,0.377,502,Very High Risk,Decline
463,0.175,532,Very High Risk,Decline
464,0.7774,451,Very High Risk,Decline
465,0.0271,590,High Risk,Decline
466,0.2221,523,Very High Risk,Decline
467,0.876,431,Very High Risk,Decline
468,0.0856,555,Very High Risk,Decline
469,0.0737,560,Very High Risk,Decline
470,0.2897,513,Very High Risk,Decline
471,0.2493,519,Very High Risk,Decline
472,0.4112,497,Very High Risk,Decline
473,0.516,485,Very High Risk,Decline
474,0.2365,521,Very High Risk,Decline
475,0.0265,591,High Risk,Decline
476,0.0336,584,High Risk,Decline
477,0.0592,567,Very High Risk,Decline
478,0.0449,575,Very High Risk,Decline
479,0.2301,522,Very High Risk,Decline
480,0.2401,520,Very High Risk,Decline
481,0.7886,449,Very High Risk,Decline
482,0.2609,517,Very High Risk,Decline
483,0.3216,509,Very High Risk,Decline
484,0.8939,426,Very High Risk,Decline
485,0.7477,456,Very High Risk,Decline
486,0.1947,528,Very High Risk,Decline
487,0.9416,407,Very High Risk,Decline
488,0.12,545,Very High Risk,Decline
489,0.2255,523,Very High Risk,Decline
490,0.38,501,Very High Risk,Decline
491,0.4312,495,Very High Risk,Decline
492,0.057,568,Very High Risk,Decline
493,0.049,573,Very High Risk,Decline
494,0.1315,542,Very High Risk,Decline
495,0.9638,392,Very High Risk,Decline
496,0.3743,502,Very High Risk,Decline
497,0.1125,547,Very High Risk,Decline
498,0.1593,535,Very High Risk,Decline
499,0.3255,508,Very High Risk,Decline
500,0.3825,501,Very High Risk,Decline
501,0.1887,529,Very High Risk,Decline
502,0.4497,493,Very High Risk,Decline
503,0.2011,527,Very High Risk,Decline
504,0.543,482,Very High Risk,Decline
505,0.8421,439,Very High Risk,Decline
506,0.6077,474,Very High Risk,Decline
507,0.2489,519,Very High Risk,Decline
508,0.0309,587,High Risk,Decline
509,0.2832,514,Very High Risk,Decline
510,0.2318,522,Very High Risk,Decline
511,0.1283,542,Very High Risk,Decline
512,0.3014,511,Very High Risk,Decline
513,0.4053,498,Very High Risk,Decline
514,0.3843,501,Very High Risk,Decline
515,0.164,534,Very High Risk,Decline
516,0.9258,414,Very High Risk,Decline
517,0.1041,549,Very High Risk,Decline
518,0.0437,576,Very High Risk,Decline
519,0.1268,543,Very High Risk,Decline
520,0.7333,458,Very High Risk,Decline
521,0.7889,449,Very High Risk,Decline
522,0.9528,400,Very High Risk,Decline
523,0.1114,547,Very High Risk,Decline
524,0.1855,530,Very High Risk,Decline
525,0.0352,583,High Risk,Decline
526,0.5676,479,Very High Risk,Decline
527,0.4832,489,Very High Risk,Decline
528,0.2927,513,Very High Risk,Decline
529,0.2556,518,Very High Risk,Decline
530,0.341,506,Very High Risk,Decline
531,0.9673,389,Very High Risk,Decline
532,0.1066,548,Very High Risk,Decline
533,0.5227,484,Very High Risk,Decline
534,0.3948,499,Very High Risk,Decline
535,0.1509,537,Very High Risk,Decline
536,0.347,505,Very High Risk,Decline
537,0.2388,521,Very High Risk,Decline
538,0.312,510,Very High Risk,Decline
539,0.0789,558,Very High Risk,Decline
540,0.8797,430,Very High Risk,Decline
541,0.283,514,Very High Risk,Decline
542,0.2602,517,Very High Risk,Decline
543,0.931,412,Very High Risk,Decline
544,0.1298,542,Very High Risk,Decline
545,0.1532,536,Very High Risk,Decline
546,0.0697,562,Very High Risk,Decline
547,0.2747,515,Very High Risk,Decline
548,0.6211,473,Very High Risk,Decline
549,0.7668,453,Very High Risk,Decline
550,0.3048,511,Very High Risk,Decline
551,0.1458,538,Very High Risk,Decline
552,0.2752,515,Very High Risk,Decline
553,0.9126,419,Very High Risk,Decline
554,0.3381,507,Very High Risk,Decline
555,0.5846,477,Very High Risk,Decline
556,0.6942,463,Very High Risk,Decline
557,0.0804,557,Very High Risk,Decline
558,0.3645,503,Very High Risk,Decline
559,0.129,542,Very High Risk,Decline
560,0.8983,424,Very High Risk,Decline
561,0.1336,541,Very High Risk,Decline
562,0.9144,419,Very High Risk,Decline
563,0.1343,541,Very High Risk,Decline
564,0.0307,587,High Risk,Decline
565,0.6353,471,Very High Risk,Decline
566,0.4882,488,Very High Risk,Decline
567,0.6115,474,Very High Risk,Decline
568,0.2946,512,Very High Risk,Decline
569,0.3037,511,Very High Risk,Decline
570,0.2968,512,Very High Risk,Decline
571,0.1239,544,Very High Risk,Decline
572,0.4955,488,Very High Risk,Decline
573,0.1291,542,Very High Risk,Decline
574,0.1182,545,Very High Risk,Decline
575,0.1626,534,Very High Risk,Decline
576,0.9546,399,Very High Risk,Decline
577,0.2458,519,Very High Risk,Decline
578,0.6783,466,Very High Risk,Decline
579,0.1406,539,Very High Risk,Decline
580,0.8074,446,Very High Risk,Decline
581,0.1979,528,Very High Risk,Decline
582,0.6039,475,Very High Risk,Decline
583,0.7575,454,Very High Risk,Decline
584,0.5652,480,Very High Risk,Decline
585,0.9661,390,Very High Risk,Decline
586,0.139,540,Very High Risk,Decline
587,0.4549,492,Very High Risk,Decline
588,0.3825,501,Very High Risk,Decline
589,0.0748,560,Very High Risk,Decline
590,0.1531,536,Very High Risk,Decline
591,0.8874,428,Very High Risk,Decline
592,0.5183,485,Very High Risk,Decline
593,0.2127,525,Very High Risk,Decline
594,0.178,531,Very High Risk,Decline
595,0.3581,504,Very High Risk,Decline
596,0.6293,472,Very High Risk,Decline
597,0.0592,567,Very High Risk,Decline
598,0.304,511,Very High Risk,Decline
599,0.1322,541,Very High Risk,Decline
600,0.0504,572,Very High Risk,Decline
601,0.0559,569,Very High Risk,Decline
602,0.9839,368,Very High Risk,Decline
603,0.9292,413,Very High Risk,Decline
604,0.0801,558,Very High Risk,Decline
605,0.7291,459,Very High Risk,Decline
606,0.3224,509,Very High Risk,Decline
607,0.1935,528,Very High Risk,Decline
608,0.0643,564,Very High Risk,Decline
609,0.0451,575,Very High Risk,Decline
610,0.1252,543,Very High Risk,Decline
611,0.1004,550,Very High Risk,Decline
612,0.7302,458,Very High Risk,Decline
613,0.8724,432,Very High Risk,Decline
614,0.412,497,Very High Risk,Decline
615,0.2928,513,Very High Risk,Decline
616,0.5069,486,Very High Risk,Decline
617,0.0631,565,Very High Risk,Decline
618,0.9653,391,Very High Risk,Decline
619,0.3569,504,Very High Risk,Decline
620,0.9438,406,Very High Risk,Decline
621,0.9609,395,Very High Risk,Decline
622,0.2976,512,Very High Risk,Decline
623,0.213,525,Very High Risk,Decline
624,0.2308,522,Very High Risk,Decline
625,0.0303,587,High Risk,Decline
626,0.0716,561,Very High Risk,Decline
627,0.3206,509,Very High Risk,Decline
628,0.2556,518,Very High Risk,Decline
629,0.6633,468,Very High Risk,Decline
630,0.112,547,Very High Risk,Decline
631,0.0435,576,Very High Risk,Decline
632,0.171,533,Very High Risk,Decline
633,0.1639,534,Very High Risk,Decline
634,0.045,575,Very High Risk,Decline
635,0.3967,499,Very High Risk,Decline
636,0.1221,544,Very High Risk,Decline
637,0.165,534,Very High Risk,Decline
638,0.43,495,Very High Risk,Decline
639,0.7453,456,Very High Risk,Decline
640,0.0675,563,Very High Risk,Decline
641,0.2751,515,Very High Risk,Decline
642,0.6535,469,Very High Risk,Decline
643,0.9213,416,Very High Risk,Decline
644,0.9153,418,Very High Risk,Decline
645,0.2436,520,Very High Risk,Decline
646,0.17,533,Very High Risk,Decline
647,0.3872,500,Very High Risk,Decline
648,0.3894,500,Very High Risk,Decline
649,0.3761,502,Very High Risk,Decline
650,0.5658,479,Very High Risk,Decline
651,0.1403,539,Very High Risk,Decline
652,0.0287,589,High Risk,Decline
653,0.6738,466,Very High Risk,Decline
654,0.2905,513,Very High Risk,Decline
655,0.2998,512,Very High Risk,Decline
656,0.4956,488,Very High Risk,Decline
657,0.1593,535,Very High Risk,Decline
658,0.9037,423,Very High Risk,Decline
659,0.5658,479,Very High Risk,Decline
660,0.1752,532,Very High Risk,Decline
661,0.3877,500,Very High Risk,Decline
662,0.1999,527,Very High Risk,Decline
663,0.2643,517,Very High Risk,Decline
664,0.1624,534,Very High Risk,Decline
665,0.2907,513,Very High Risk,Decline
666,0.3679,503,Very High Risk,Decline
667,0.0335,584,High Risk,Decline
668,0.2344,521,Very High Risk,Decline
669,0.4182,497,Very High Risk,Decline
670,0.2607,517,Very High Risk,Decline
671,0.3708,502,Very High Risk,Decline
672,0.0415,578,Very High Risk,Decline
673,0.1163,546,Very High Risk,Decline
674,0.4958,488,Very High Risk,Decline
675,0.4218,496,Very High Risk,Decline
676,0.3439,506,Very High Risk,Decline
677,0.5461,482,Very High Risk,Decline
678,0.1632,534,Very High Risk,Decline
679,0.1261,543,Very High Risk,Decline
680,0.3054,511,Very High Risk,Decline
681,0.0511,571,Very High Risk,Decline
682,0.3527,505,Very High Risk,Decline
683,0.0361,582,High Risk,Decline
684,0.2405,520,Very High Risk,Decline
685,0.356,504,Very High Risk,Decline
686,0.0539,570,Very High Risk,Decline
687,0.9546,399,Very High Risk,Decline
688,0.5573,480,Very High Risk,Decline
689,0.955,399,Very High Risk,Decline
690,0.2934,512,Very High Risk,Decline
691,0.6084,474,Very High Risk,Decline
692,0.7346,458,Very High Risk,Decline
693,0.2574,518,Very High Risk,Decline
694,0.8305,441,Very High Risk,Decline
695,0.1905,529,Very High Risk,Decline
696,0.3104,510,Very High Risk,Decline
697,0.1785,531,Very High Risk,Decline
698,0.8289,442,Very High Risk,Decline
699,0.6872,464,Very High Risk,Decline
700,0.5414,482,Very High Risk,Decline
701,0.2374,521,Very High Risk,Decline
702,0.1493,537,Very High Risk,Decline
703,0.9436,406,Very High Risk,Decline
704,0.0607,566,Very High Risk,Decline
